calendar_sk,date,date_id,year,month,day,day_of_week,quarter,year_month
1,2024-01-01,20240101,2024,1,1,1,Q1,2024-01
2,2024-01-02,20240102,2024,1,2,2,Q1,2024-01
3,2024-01-03,20240103,2024,1,3,3,Q1,2024-01
4,2024-01-04,20240104,2024,1,4,4,Q1,2024-01
5,2024-01-05,20240105,2024,1,5,5,Q1,2024-01
6,2024-01-06,20240106,2024,1,6,6,Q1,2024-01
7,2024-01-07,20240107,2024,1,7,7,Q1,2024-01
8,2024-01-08,20240108,2024,1,8,1,Q1,2024-01
9,2024-01-09,20240109,2024,1,9,2,Q1,2024-01
10,2024-01-10,20240110,2024,1,10,3,Q1,2024-01
11,2024-01-11,20240111,2024,1,11,4,Q1,2024-01
12,2024-01-12,20240112,2024,1,12,5,Q1,2024-01
13,2024-01-13,20240113,2024,1,13,6,Q1,2024-01
14,2024-01-14,20240114,2024,1,14,7,Q1,2024-01
15,2024-01-15,20240115,2024,1,15,1,Q1,2024-01
16,2024-01-16,20240116,2024,1,16,2,Q1,2024-01
17,2024-01-17,20240117,2024,1,17,3,Q1,2024-01
18,2024-01-18,20240118,2024,1,18,4,Q1,2024-01
19,2024-01-19,20240119,2024,1,19,5,Q1,2024-01
20,2024-01-20,20240120,2024,1,20,6,Q1,2024-01
21,2024-01-21,20240121,2024,1,21,7,Q1,2024-01
22,2024-01-22,20240122,2024,1,22,1,Q1,2024-01
23,2024-01-23,20240123,2024,1,23,2,Q1,2024-01
24,2024-01-24,20240124,2024,1,24,3,Q1,2024-01
25,2024-01-25,20240125,2024,1,25,4,Q1,2024-01
26,2024-01-26,20240126,2024,1,26,5,Q1,2024-01
27,2024-01-27,20240127,2024,1,27,6,Q1,2024-01
28,2024-01-28,20240128,2024,1,28,7,Q1,2024-01
29,2024-01-29,20240129,2024,1,29,1,Q1,2024-01
30,2024-01-30,20240130,2024,1,30,2,Q1,2024-01
31,2024-01-31,20240131,2024,1,31,3,Q1,2024-01
32,2024-02-01,20240201,2024,2,1,4,Q1,2024-02
33,2024-02-02,20240202,2024,2,2,5,Q1,2024-02
34,2024-02-03,20240203,2024,2,3,6,Q1,2024-02
35,2024-02-04,20240204,2024,2,4,7,Q1,2024-02
36,2024-02-05,20240205,2024,2,5,1,Q1,2024-02
37,2024-02-06,20240206,2024,2,6,2,Q1,2024-02
38,2024-02-07,20240207,2024,2,7,3,Q1,2024-02
39,2024-02-08,20240208,2024,2,8,4,Q1,2024-02
40,2024-02-09,20240209,2024,2,9,5,Q1,2024-02
41,2024-02-10,20240210,2024,2,10,6,Q1,2024-02
42,2024-02-11,20240211,2024,2,11,7,Q1,2024-02
43,2024-02-12,20240212,2024,2,12,1,Q1,2024-02
44,2024-02-13,20240213,2024,2,13,2,Q1,2024-02
45,2024-02-14,20240214,2024,2,14,3,Q1,2024-02
46,2024-02-15,20240215,2024,2,15,4,Q1,2024-02
47,2024-02-16,20240216,2024,2,16,5,Q1,2024-02
48,2024-02-17,20240217,2024,2,17,6,Q1,2024-02
49,2024-02-18,20240218,2024,2,18,7,Q1,2024-02
50,2024-02-19,20240219,2024,2,19,1,Q1,2024-02
51,2024-02-20,20240220,2024,2,20,2,Q1,2024-02
52,2024-02-21,20240221,2024,2,21,3,Q1,2024-02
53,2024-02-22,20240222,2024,2,22,4,Q1,2024-02
54,2024-02-23,20240223,2024,2,23,5,Q1,2024-02
55,2024-02-24,20240224,2024,2,24,6,Q1,2024-02
56,2024-02-25,20240225,2024,2,25,7,Q1,2024-02
57,2024-02-26,20240226,2024,2,26,1,Q1,2024-02
58,2024-02-27,20240227,2024,2,27,2,Q1,2024-02
59,2024-02-28,20240228,2024,2,28,3,Q1,2024-02
60,2024-02-29,20240229,2024,2,29,4,Q1,2024-02
61,2024-03-01,20240301,2024,3,1,5,Q1,2024-03
62,2024-03-02,20240302,2024,3,2,6,Q1,2024-03
63,2024-03-03,20240303,2024,3,3,7,Q1,2024-03
64,2024-03-04,20240304,2024,3,4,1,Q1,2024-03
65,2024-03-05,20240305,2024,3,5,2,Q1,2024-03
66,2024-03-06,20240306,2024,3,6,3,Q1,2024-03
67,2024-03-07,20240307,2024,3,7,4,Q1,2024-03
68,2024-03-08,20240308,2024,3,8,5,Q1,2024-03
69,2024-03-09,20240309,2024,3,9,6,Q1,2024-03
70,2024-03-10,20240310,2024,3,10,7,Q1,2024-03
71,2024-03-11,20240311,2024,3,11,1,Q1,2024-03
72,2024-03-12,20240312,2024,3,12,2,Q1,2024-03
73,2024-03-13,20240313,2024,3,13,3,Q1,2024-03
74,2024-03-14,20240314,2024,3,14,4,Q1,2024-03
75,2024-03-15,20240315,2024,3,15,5,Q1,2024-03
76,2024-03-16,20240316,2024,3,16,6,Q1,2024-03
77,2024-03-17,20240317,2024,3,17,7,Q1,2024-03
78,2024-03-18,20240318,2024,3,18,1,Q1,2024-03
79,2024-03-19,20240319,2024,3,19,2,Q1,2024-03
80,2024-03-20,20240320,2024,3,20,3,Q1,2024-03
81,2024-03-21,20240321,2024,3,21,4,Q1,2024-03
82,2024-03-22,20240322,2024,3,22,5,Q1,2024-03
83,2024-03-23,20240323,2024,3,23,6,Q1,2024-03
84,2024-03-24,20240324,2024,3,24,7,Q1,2024-03
85,2024-03-25,20240325,2024,3,25,1,Q1,2024-03
86,2024-03-26,20240326,2024,3,26,2,Q1,2024-03
87,2024-03-27,20240327,2024,3,27,3,Q1,2024-03
88,2024-03-28,20240328,2024,3,28,4,Q1,2024-03
89,2024-03-29,20240329,2024,3,29,5,Q1,2024-03
90,2024-03-30,20240330,2024,3,30,6,Q1,2024-03
91,2024-03-31,20240331,2024,3,31,7,Q1,2024-03
92,2024-04-01,20240401,2024,4,1,1,Q2,2024-04
93,2024-04-02,20240402,2024,4,2,2,Q2,2024-04
94,2024-04-03,20240403,2024,4,3,3,Q2,2024-04
95,2024-04-04,20240404,2024,4,4,4,Q2,2024-04
96,2024-04-05,20240405,2024,4,5,5,Q2,2024-04
97,2024-04-06,20240406,2024,4,6,6,Q2,2024-04
98,2024-04-07,20240407,2024,4,7,7,Q2,2024-04
99,2024-04-08,20240408,2024,4,8,1,Q2,2024-04
100,2024-04-09,20240409,2024,4,9,2,Q2,2024-04
101,2024-04-10,20240410,2024,4,10,3,Q2,2024-04
102,2024-04-11,20240411,2024,4,11,4,Q2,2024-04
103,2024-04-12,20240412,2024,4,12,5,Q2,2024-04
104,2024-04-13,20240413,2024,4,13,6,Q2,2024-04
105,2024-04-14,20240414,2024,4,14,7,Q2,2024-04
106,2024-04-15,20240415,2024,4,15,1,Q2,2024-04
107,2024-04-16,20240416,2024,4,16,2,Q2,2024-04
108,2024-04-17,20240417,2024,4,17,3,Q2,2024-04
109,2024-04-18,20240418,2024,4,18,4,Q2,2024-04
110,2024-04-19,20240419,2024,4,19,5,Q2,2024-04
111,2024-04-20,20240420,2024,4,20,6,Q2,2024-04
112,2024-04-21,20240421,2024,4,21,7,Q2,2024-04
113,2024-04-22,20240422,2024,4,22,1,Q2,2024-04
114,2024-04-23,20240423,2024,4,23,2,Q2,2024-04
115,2024-04-24,20240424,2024,4,24,3,Q2,2024-04
116,2024-04-25,20240425,2024,4,25,4,Q2,2024-04
117,2024-04-26,20240426,2024,4,26,5,Q2,2024-04
118,2024-04-27,20240427,2024,4,27,6,Q2,2024-04
119,2024-04-28,20240428,2024,4,28,7,Q2,2024-04
120,2024-04-29,20240429,2024,4,29,1,Q2,2024-04
121,2024-04-30,20240430,2024,4,30,2,Q2,2024-04
122,2024-05-01,20240501,2024,5,1,3,Q2,2024-05
123,2024-05-02,20240502,2024,5,2,4,Q2,2024-05
124,2024-05-03,20240503,2024,5,3,5,Q2,2024-05
125,2024-05-04,20240504,2024,5,4,6,Q2,2024-05
126,2024-05-05,20240505,2024,5,5,7,Q2,2024-05
127,2024-05-06,20240506,2024,5,6,1,Q2,2024-05
128,2024-05-07,20240507,2024,5,7,2,Q2,2024-05
129,2024-05-08,20240508,2024,5,8,3,Q2,2024-05
130,2024-05-09,20240509,2024,5,9,4,Q2,2024-05
131,2024-05-10,20240510,2024,5,10,5,Q2,2024-05
132,2024-05-11,20240511,2024,5,11,6,Q2,2024-05
133,2024-05-12,20240512,2024,5,12,7,Q2,2024-05
134,2024-05-13,20240513,2024,5,13,1,Q2,2024-05
135,2024-05-14,20240514,2024,5,14,2,Q2,2024-05
136,2024-05-15,20240515,2024,5,15,3,Q2,2024-05
137,2024-05-16,20240516,2024,5,16,4,Q2,2024-05
138,2024-05-17,20240517,2024,5,17,5,Q2,2024-05
139,2024-05-18,20240518,2024,5,18,6,Q2,2024-05
140,2024-05-19,20240519,2024,5,19,7,Q2,2024-05
141,2024-05-20,20240520,2024,5,20,1,Q2,2024-05
