payment_sk,id,customer_id,billing_address_id,channel_id,store_id,method,status_payment,amount,paid_at_date_id,paid_at_time,transaction_ref
1,7000000000,356,2910.0,1,,CARD,PAID,63636.0,20241127,00:50:47,TX-1HW3GM7Q6LFJ
2,7000000001,601,3803.0,1,,GATEWAY,PENDING,78146.4,,,
3,7000000002,1234,1126.0,1,,CARD,PAID,32064.6,20250228,07:39:44,TX-8PBOWVHD7B4I
4,7000000003,156,3665.0,1,,CARD,PAID,30855.0,20250302,15:35:36,TX-SQ97NPWQ6YK8
5,7000000004,616,1293.0,2,4.0,CARD,PAID,53451.75,20240401,01:46:36,TX-F7761XS1CXDC
6,7000000005,614,1723.0,2,2.0,CASH,PAID,29040.0,20240313,14:54:35,TX-RNWJHS1F8G0Y
7,7000000006,188,1432.0,1,,CARD,REFUNDED,18442.5,20250717,12:55:56,TX-X2AJGZ36N3FR
8,7000000007,17,,1,,CARD,PAID,17535.0,20241114,13:15:00,TX-ZRHVYPGQTDRK
9,7000000008,1148,2018.0,1,,CARD,PAID,109011.0,20240825,23:29:28,TX-CHL80ZD8IP5O
10,7000000009,1037,1097.0,1,,GATEWAY,PAID,16718.25,20240331,18:34:46,TX-J2VP8C6ROCZQ
11,7000000010,1336,,2,1.0,TRANSFER,REFUNDED,17787.0,20240314,03:19:39,TX-1UN1COQAVK65
12,7000000011,1239,2159.0,2,4.0,CASH,PAID,41309.4,20250617,07:46:29,TX-U5CXUHGK42O6
13,7000000012,1426,3389.0,2,3.0,CARD,PAID,42688.8,20240812,06:38:29,TX-GS664FN80M9E
14,7000000013,862,1342.0,2,1.0,CASH,PAID,123283.88,20250323,14:26:14,TX-BZOPSO6JPRZD
15,7000000014,181,2238.0,1,,CARD,PAID,15129.6,20250820,03:46:12,TX-AD0J2NGELHNC
16,7000000015,700,3268.0,1,,CARD,FAILED,29659.2,,,
17,7000000016,475,1585.0,1,,GATEWAY,PAID,28642.8,20250829,20:46:32,TX-Y2BIADVO9F18
18,7000000017,753,3052.0,2,2.0,CARD,PAID,80912.7,20250220,01:36:04,TX-O7MTCOYJ61AJ
19,7000000018,1151,2712.0,1,,GATEWAY,FAILED,100107.9,,,
20,7000000019,793,2523.0,1,,CARD,PAID,46023.24,20250423,12:12:18,TX-EMS8E80975XQ
21,7000000020,866,3933.0,1,,CARD,PAID,59895.0,20240506,15:36:24,TX-EZKXQ80I4527
22,7000000021,1110,3246.0,1,,CARD,PAID,29659.2,20250925,01:05:51,TX-BE5NW8R3MU50
23,7000000022,854,2462.0,2,1.0,TRANSFER,REFUNDED,29040.0,20240402,19:16:34,TX-I1Q2G15R83Y7
24,7000000023,379,3098.0,2,3.0,CASH,PAID,82764.0,20250708,19:42:57,TX-3TFFR8COO0FP
25,7000000024,441,1528.0,2,2.0,CARD,PAID,14229.6,20250303,09:57:05,TX-91AAY0A1V9Q3
26,7000000025,125,2981.0,1,,CARD,PAID,86005.88,20250827,17:57:45,TX-SVYYRKPOYWM4
27,7000000026,1201,4164.0,1,,CARD,PAID,17535.0,20241215,07:59:48,TX-9O9IH4O8JG78
28,7000000027,1055,3321.0,1,,CARD,PAID,28488.0,20241202,05:44:59,TX-C245O7O7GRI9
29,7000000028,382,1338.0,1,,CARD,PAID,14520.0,20240518,09:11:07,TX-J6HQJG5HEW5S
30,7000000029,1456,1410.0,1,,CARD,PAID,79235.4,20250914,21:43:49,TX-DRZ2QYPBHF3H
31,7000000030,1377,3581.0,2,4.0,CARD,PAID,41382.0,20250611,19:02:55,TX-13PMNCYBLOP6
32,7000000031,1375,1924.0,2,4.0,CASH,PAID,28459.2,20250513,08:15:07,TX-PFV0D0IML4NF
33,7000000032,821,3181.0,1,,CARD,PAID,33870.0,20250316,16:37:22,TX-UM2KN2XHQSHB
34,7000000033,1475,3312.0,2,4.0,CASH,PAID,17787.0,20240608,12:23:04,TX-PO2UBATPZ00H
35,7000000034,634,2156.0,2,2.0,CASH,PAID,103318.88,20241119,15:24:31,TX-922WAHDO61XN
36,7000000035,585,3436.0,2,1.0,CARD,PAID,26136.0,20240113,09:54:27,TX-Y8T15028LSUX
37,7000000036,180,4138.0,1,,CARD,PAID,61158.0,20240926,11:59:17,TX-WSO0CISUVYK2
38,7000000037,482,2544.0,1,,CARD,PAID,31082.16,20240127,15:07:55,TX-VCRJJP6E0CCG
39,7000000038,620,1303.0,2,1.0,CARD,PAID,14229.6,20240202,23:29:21,TX-DIL01AV2R2A9
40,7000000039,603,4130.0,2,1.0,CARD,PAID,71583.6,20240523,19:42:33,TX-GO2N5MUY0V3U
41,7000000040,1028,3284.0,1,,CARD,FAILED,14994.0,,,
42,7000000041,1005,,2,3.0,CASH,PAID,29657.1,20240115,03:59:03,TX-B543BB9H5C7R
43,7000000042,790,1738.0,1,,GATEWAY,PAID,13914.6,20240928,02:17:36,TX-X79V37PRDDTB
44,7000000043,665,3226.0,1,,CARD,PAID,48816.0,20240522,23:46:11,TX-3MPXSV4DAUND
45,7000000044,562,,1,,GATEWAY,PAID,90435.0,20250905,11:32:15,TX-4JUJUM3AY4L6
46,7000000045,998,3026.0,1,,GATEWAY,PAID,44460.0,20240203,22:14:28,TX-6G4YWKOODVMB
47,7000000046,276,,1,,CARD,PAID,39930.0,20240115,01:01:18,TX-OAGVE3OT79YR
48,7000000047,1469,,2,2.0,CASH,PAID,13068.0,20240308,13:53:37,TX-AL44LOCGN4MF
49,7000000048,408,3365.0,2,2.0,CARD,PENDING,28459.2,,,
50,7000000049,1360,1174.0,2,2.0,TRANSFER,PAID,49005.0,20240813,06:35:54,TX-66ID36XC53T2
51,7000000050,1423,2103.0,1,,GATEWAY,PAID,35685.0,20240725,13:25:00,TX-7PTIHWUY0CDA
52,7000000051,741,2340.0,1,,CARD,PAID,38252.7,20240918,03:10:33,TX-F093FL0ELLCQ
53,7000000052,969,,1,,CARD,PAID,85377.6,20241106,16:12:44,TX-LC4H6TVD1ZOD
54,7000000053,729,3595.0,1,,CARD,FAILED,33570.0,,,
55,7000000054,251,3465.0,2,4.0,CASH,PAID,14941.08,20240318,14:19:59,TX-BABHWIKVNZZ3
56,7000000055,1087,3305.0,2,1.0,CARD,PAID,51727.5,20250724,16:26:45,TX-RJQ9HE6VB7HF
57,7000000056,659,3446.0,1,,CARD,PAID,87140.25,20250415,04:37:15,TX-0RAAOO91OA8N
58,7000000057,338,1626.0,2,4.0,CASH,PAID,34394.25,20250223,13:51:12,TX-UXBOXO5T9DHX
59,7000000058,1068,3.0,1,,CARD,FAILED,53953.5,,,
60,7000000059,958,2973.0,1,,CARD,PAID,77682.0,20240703,10:26:37,TX-7033ZUJCIUHD
61,7000000060,428,1333.0,2,4.0,CARD,FAILED,35283.6,,,
62,7000000061,1337,1294.0,1,,CARD,PAID,15720.0,20250303,09:20:56,TX-5BCIDL8LGH8R
63,7000000062,1442,1692.0,2,3.0,TRANSFER,PAID,54450.0,20241224,17:02:28,TX-T7NWUQIQ9VOB
64,7000000063,939,4168.0,1,,GATEWAY,PAID,46323.24,20240601,23:17:58,TX-D4XNYWF5QEYL
65,7000000064,1409,4171.0,1,,GATEWAY,PAID,19168.5,20250307,07:45:27,TX-N8533KHZH4J5
