sales_order_sk,id,customer_id,channel_id,store_id,order_date_id,order_time,order_date,billing_address_id,shipping_address_id,status_order,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1,1000000000,356,1,,20241126,07:50:47,2024-11-26,1914,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
2,1000000001,601,1,,20240131,01:00:04,2024-01-31,2807,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4
3,1000000002,1234,1,,20250226,19:39:44,2025-02-26,130,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
4,1000000003,156,1,,20250301,17:35:36,2025-03-01,2669,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
5,1000000004,616,2,4.0,20240330,02:46:36,2024-03-30,297,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
6,1000000005,614,2,2.0,20240312,20:54:35,2024-03-12,727,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
7,1000000006,188,1,,20250715,22:55:56,2025-07-15,436,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
8,1000000007,17,1,,20241111,20:15:00,2024-11-11,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
9,1000000008,1148,1,,20240825,03:29:28,2024-08-25,1022,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
10,1000000009,1037,1,,20240330,10:34:46,2024-03-30,101,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25
11,1000000010,1336,2,1.0,20240313,02:19:39,2024-03-13,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
12,1000000011,1239,2,4.0,20250617,03:46:29,2025-06-17,1163,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
13,1000000012,1426,2,3.0,20240809,14:38:29,2024-08-09,2393,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
14,1000000013,862,2,1.0,20250323,11:26:14,2025-03-23,346,1,PAID,ARS,101887.5,21396.38,0.0,123283.88
15,1000000014,181,1,,20250818,12:46:12,2025-08-18,1242,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6
16,1000000015,700,1,,20240915,12:43:40,2024-09-15,2272,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
17,1000000016,475,1,,20250827,22:46:32,2025-08-27,589,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
18,1000000017,753,2,2.0,20250219,14:36:04,2025-02-19,2056,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
19,1000000018,1151,1,,20240714,15:20:18,2024-07-14,1716,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
20,1000000019,793,1,,20250421,04:12:18,2025-04-21,1527,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
21,1000000020,866,1,,20240506,01:36:24,2024-05-06,2937,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
22,1000000021,1110,1,,20250923,22:05:51,2025-09-23,2250,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
23,1000000022,854,2,1.0,20240331,02:16:34,2024-03-31,1466,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
24,1000000023,379,2,3.0,20250705,19:42:57,2025-07-05,2102,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
25,1000000024,441,2,2.0,20250302,15:57:05,2025-03-02,532,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
26,1000000025,125,1,,20250826,06:57:45,2025-08-26,1985,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
27,1000000026,1201,1,,20241212,23:59:48,2024-12-12,3168,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
28,1000000027,1055,1,,20241202,01:44:59,2024-12-02,2325,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
29,1000000028,382,1,,20240517,06:11:07,2024-05-17,342,2419,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
30,1000000029,1456,1,,20250914,02:43:49,2025-09-14,414,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
31,1000000030,1377,2,4.0,20250609,19:02:55,2025-06-09,2585,4,PAID,ARS,34200.0,7182.0,0.0,41382.0
32,1000000031,1375,2,4.0,20250510,11:15:07,2025-05-10,928,4,PAID,ARS,23520.0,4939.2,0.0,28459.2
33,1000000032,821,1,,20250315,14:37:22,2025-03-15,2185,1920,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
34,1000000033,1475,2,4.0,20240608,03:23:04,2024-06-08,2316,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
35,1000000034,634,2,2.0,20241117,01:24:31,2024-11-17,1160,2,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
36,1000000035,585,2,1.0,20240112,05:54:27,2024-01-12,2440,1,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
37,1000000036,180,1,,20240924,18:59:17,2024-09-24,3142,2859,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
38,1000000037,482,1,,20240126,00:07:55,2024-01-26,1548,3321,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
39,1000000038,620,2,1.0,20240202,22:29:21,2024-02-02,307,1,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
40,1000000039,603,2,1.0,20240523,04:42:33,2024-05-23,3134,1,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
41,1000000040,1028,1,,20240304,06:58:13,2024-03-04,2288,2145,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
42,1000000041,1005,2,3.0,20240114,09:59:03,2024-01-14,,3,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
43,1000000042,790,1,,20240927,21:17:36,2024-09-27,742,1029,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
44,1000000043,665,1,,20240521,10:46:11,2024-05-21,2230,3039,PAID,ARS,39600.0,8316.0,900.0,48816.0
45,1000000044,562,1,,20250902,12:32:15,2025-09-02,,2131,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
46,1000000045,998,1,,20240201,13:14:28,2024-02-01,2030,2980,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
47,1000000046,276,1,,20240112,03:01:18,2024-01-12,,1489,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
48,1000000047,1469,2,2.0,20240308,08:53:37,2024-03-08,,2,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
49,1000000048,408,2,2.0,20240913,16:10:57,2024-09-13,2369,2,CREATED,ARS,23520.0,4939.2,0.0,28459.2
50,1000000049,1360,2,2.0,20240811,19:35:54,2024-08-11,178,2,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
51,1000000050,1423,1,,20240725,00:25:00,2024-07-25,1107,1661,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
52,1000000051,741,1,,20240915,06:10:33,2024-09-15,1344,2863,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
53,1000000052,969,1,,20241104,03:12:44,2024-11-04,,2608,FULFILLED,ARS,70560.0,14817.6,0.0,85377.6
54,1000000053,729,1,,20240810,06:19:56,2024-08-10,2599,1454,CANCELLED,ARS,27000.0,5670.0,900.0,33570.0
55,1000000054,251,2,4.0,20240316,02:19:59,2024-03-16,2469,4,PAID,ARS,12348.0,2593.08,0.0,14941.08
56,1000000055,1087,2,1.0,20250723,20:26:45,2025-07-23,2309,1,PAID,ARS,42750.0,8977.5,0.0,51727.5
57,1000000056,659,1,,20250412,15:37:15,2025-04-12,2450,2887,FULFILLED,ARS,71025.0,14915.25,1200.0,87140.25
58,1000000057,338,2,4.0,20250221,05:51:12,2025-02-21,630,4,FULFILLED,ARS,28425.0,5969.25,0.0,34394.25
59,1000000058,1068,1,,20240921,03:01:24,2024-09-21,3,3071,CANCELLED,ARS,43350.0,9103.5,1500.0,53953.5
60,1000000059,958,1,,20240701,13:26:37,2024-07-01,1977,3535,FULFILLED,ARS,64200.0,13482.0,0.0,77682.0
61,1000000060,428,2,4.0,20240225,20:21:42,2024-02-25,337,4,CANCELLED,ARS,29160.0,6123.6,0.0,35283.6
62,1000000061,1337,1,,20250301,10:20:56,2025-03-01,298,1084,FULFILLED,ARS,12000.0,2520.0,1200.0,15720.0
63,1000000062,1442,2,3.0,20241223,12:02:28,2024-12-23,696,3,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
64,1000000063,939,1,,20240530,10:17:58,2024-05-30,3172,1406,FULFILLED,ARS,37044.0,7779.24,1500.0,46323.24
65,1000000064,1409,1,,20250304,14:45:27,2025-03-04,3175,1307,FULFILLED,ARS,14850.0,3118.5,1200.0,19168.5
66,1000000065,1062,1,,20240917,00:43:41,2024-09-17,2637,2399,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
67,1000000066,988,1,,20240126,06:33:17,2024-01-26,1191,1134,CANCELLED,ARS,35280.0,7408.8,1200.0,43888.8
68,1000000067,778,1,,20250411,16:23:15,2025-04-11,1602,2248,REFUNDED,ARS,14700.0,3087.0,900.0,18687.0
69,1000000068,77,1,,20241201,10:53:38,2024-12-01,1747,1620,PAID,ARS,84435.0,17731.35,0.0,102166.35
70,1000000069,700,1,,20240612,09:38:45,2024-06-12,1472,1476,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
