sales_order_item_sk,id,customer_id,channel_id,store_id,product_id,quantity,unit_price,discount_amount,line_total,order_date_id,order_date,billing_address_id,shipping_address_id
1,5000000000,356,1,,2,2,15000.0,0.0,30000.0,20241126,2024-11-26,1914,599
2,5000000001,356,1,,1,2,12000.0,2400.0,21600.0,20241126,2024-11-26,1914,599
3,5000000002,601,1,,1,1,12000.0,240.0,11760.0,20240131,2024-01-31,2807,2538
4,5000000003,601,1,,2,2,15000.0,600.0,29400.0,20240131,2024-01-31,2807,2538
5,5000000004,601,1,,1,2,12600.0,2520.0,22680.0,20240131,2024-01-31,2807,2538
6,5000000005,1234,1,,1,1,12000.0,240.0,11760.0,20250226,2025-02-26,130,3067
7,5000000006,1234,1,,2,1,15000.0,1500.0,13500.0,20250226,2025-02-26,130,3067
8,5000000007,156,1,,1,1,12000.0,1200.0,10800.0,20250301,2025-03-01,2669,511
9,5000000008,156,1,,2,1,15000.0,300.0,14700.0,20250301,2025-03-01,2669,511
10,5000000009,616,2,4,2,2,15750.0,1575.0,29925.0,20240330,2024-03-30,297,4
11,5000000010,616,2,4,2,1,15000.0,750.0,14250.0,20240330,2024-03-30,297,4
12,5000000011,614,2,2,1,2,12000.0,0.0,24000.0,20240312,2024-03-12,727,2
13,5000000012,188,1,,2,1,15000.0,750.0,14250.0,20250715,2025-07-15,436,1152
14,5000000013,17,1,,2,1,15000.0,1500.0,13500.0,20241111,2024-11-11,,2581
15,5000000014,1148,1,,1,3,12000.0,0.0,36000.0,20240825,2024-08-25,1022,494
16,5000000015,1148,1,,2,3,15000.0,4500.0,40500.0,20240825,2024-08-25,1022,494
17,5000000016,1148,1,,1,1,12600.0,0.0,12600.0,20240825,2024-08-25,1022,494
18,5000000017,1037,1,,2,1,13500.0,675.0,12825.0,20240330,2024-03-30,101,978
19,5000000018,1336,2,1,2,1,15000.0,300.0,14700.0,20240313,2024-03-13,,1
20,5000000019,1239,2,4,2,1,15000.0,300.0,14700.0,20250617,2025-06-17,1163,4
21,5000000020,1239,2,4,1,2,10800.0,2160.0,19440.0,20250617,2025-06-17,1163,4
22,5000000021,1426,2,3,1,3,12000.0,720.0,35280.0,20240809,2024-08-09,2393,3
23,5000000022,862,2,1,2,3,15750.0,2362.5,44887.5,20250323,2025-03-23,346,1
24,5000000023,862,2,1,1,3,12000.0,1800.0,34200.0,20250323,2025-03-23,346,1
25,5000000024,862,2,1,1,2,12000.0,1200.0,22800.0,20250323,2025-03-23,346,1
26,5000000025,181,1,,1,1,12000.0,240.0,11760.0,20250818,2025-08-18,1242,2921
27,5000000026,700,1,,1,2,12000.0,480.0,23520.0,20240915,2024-09-15,2272,807
28,5000000027,475,1,,1,2,12600.0,2520.0,22680.0,20250827,2025-08-27,589,2562
29,5000000028,753,2,2,2,2,15750.0,630.0,30870.0,20250219,2025-02-19,2056,2
30,5000000029,753,2,2,1,3,12000.0,0.0,36000.0,20250219,2025-02-19,2056,2
31,5000000030,1151,1,,2,1,13500.0,270.0,13230.0,20240714,2024-07-14,1716,1695
32,5000000031,1151,1,,1,2,13200.0,2640.0,23760.0,20240714,2024-07-14,1716,1695
33,5000000032,1151,1,,2,3,15000.0,0.0,45000.0,20240714,2024-07-14,1716,1695
34,5000000033,793,1,,1,3,12600.0,756.0,37044.0,20250421,2025-04-21,1527,2616
35,5000000034,866,1,,2,3,16500.0,0.0,49500.0,20240506,2024-05-06,2937,2378
36,5000000035,1110,1,,1,2,12000.0,480.0,23520.0,20250923,2025-09-23,2250,1549
