shipment_sk,id,customer_id,shipping_address_id,channel_id,carrier,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,tracking_number
1,9000000000,356,1595,1,Correo Argentino,20241127,07:50:47,20241130,07:50:47,TRK-LM6S0ZIUQ6
2,9000000001,601,3534,1,Correo Argentino,20240201,01:00:04,20240205,01:00:04,TRK-S7JYRIGG48
3,9000000002,1234,4063,1,Correo Argentino,20250227,19:39:44,20250301,19:39:44,TRK-YI8R5NTIPW
4,9000000003,156,1507,1,Correo Argentino,20250302,17:35:36,20250306,17:35:36,TRK-UWNN6LXYNU
5,9000000004,616,4,2,PICKUP,20240330,02:46:36,20240331,02:46:36,
6,9000000005,614,2,2,PICKUP,20240312,20:54:35,20240313,20:54:35,
7,9000000006,188,2148,1,Correo Argentino,20250716,22:55:56,20250720,22:55:56,TRK-UCA7R6D2X6
8,9000000007,17,3577,1,Correo Argentino,20241112,20:15:00,20241115,20:15:00,TRK-EEAFDZHDID
9,9000000008,1148,1490,1,Correo Argentino,20240826,03:29:28,20240828,03:29:28,TRK-99ZZCRAXY6
10,9000000009,1037,1974,1,Correo Argentino,20240331,10:34:46,20240403,10:34:46,TRK-M4QI31HO4X
11,9000000010,1336,1,2,PICKUP,20240313,02:19:39,20240314,02:19:39,
12,9000000011,1239,4,2,PICKUP,20250617,03:46:29,20250618,03:46:29,
13,9000000012,1426,3,2,PICKUP,20240809,14:38:29,20240810,14:38:29,
14,9000000013,862,1,2,PICKUP,20250323,11:26:14,20250324,11:26:14,
15,9000000014,181,3917,1,Correo Argentino,20250819,12:46:12,20250824,12:46:12,TRK-TEL745CSF0
16,9000000015,700,1803,1,Correo Argentino,,,,,
17,9000000016,475,3558,1,Correo Argentino,20250828,22:46:32,20250902,22:46:32,TRK-2QJED48Q5H
18,9000000017,753,2,2,PICKUP,20250219,14:36:04,20250220,14:36:04,
19,9000000018,1151,2691,1,Correo Argentino,,,,,
20,9000000019,793,3612,1,Correo Argentino,20250422,04:12:18,20250426,04:12:18,TRK-LU2ZLGLEOH
21,9000000020,866,3374,1,Correo Argentino,20240507,01:36:24,20240511,01:36:24,TRK-UD7KW642LM
22,9000000021,1110,2545,1,Correo Argentino,20250924,22:05:51,20250926,22:05:51,TRK-4588YSVCZA
23,9000000022,854,1,2,PICKUP,20240331,02:16:34,20240401,02:16:34,
24,9000000023,379,3,2,PICKUP,20250705,19:42:57,20250706,19:42:57,
25,9000000024,441,2,2,PICKUP,20250302,15:57:05,20250303,15:57:05,
26,9000000025,125,1512,1,Correo Argentino,20250827,06:57:45,20250831,06:57:45,TRK-YJMLEQMJ1S
27,9000000026,1201,1297,1,Correo Argentino,20241213,23:59:48,20241216,23:59:48,TRK-IWZB9131BN
28,9000000027,1055,2858,1,Correo Argentino,20241203,01:44:59,20241206,01:44:59,TRK-F7ZF8SQ633
29,9000000028,382,2419,1,Correo Argentino,20240518,06:11:07,20240522,06:11:07,TRK-NW8EX6WAQP
30,9000000029,1456,2421,1,Correo Argentino,20250915,02:43:49,20250920,02:43:49,TRK-SNH0E9H2BV
31,9000000030,1377,4,2,PICKUP,20250609,19:02:55,20250610,19:02:55,
32,9000000031,1375,4,2,PICKUP,20250510,11:15:07,20250511,11:15:07,
33,9000000032,821,1920,1,Correo Argentino,20250316,14:37:22,20250318,14:37:22,TRK-AF3QHYH0G0
34,9000000033,1475,4,2,PICKUP,20240608,03:23:04,20240609,03:23:04,
35,9000000034,634,2,2,PICKUP,20241117,01:24:31,20241118,01:24:31,
36,9000000035,585,1,2,PICKUP,20240112,05:54:27,20240113,05:54:27,
37,9000000036,180,2859,1,Correo Argentino,20240925,18:59:17,20240928,18:59:17,TRK-JI1IJOL9GD
